sample,BTLA,VSIR,CD200,CD200R1,CD27,CD274,CD276,CD28,CD40,CD80,CD86,CEACAM1,CTLA4,HAVCR2,IDO1,IL2RB,LAG3,PDCD1,PDCD1LG2,PVR,NECTIN2,TIGIT,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9
SRR8281218,0.0370196110995315,97.0226035435218,42.84616547535339,0.260856302865631,1.9068608825414601,1.430770293351233,23.907456520389047,0.738730314962293,9.673196005556472,0.0660437421921951,8.891422650701347,2.9431252338625282,0.0,18.69167727671394,0.35392835698263403,0.90252268597013,1.109947929567544,0.19868765686234158,1.78524243299201,14.683716803771723,25.68176709524681,0.220208699356124,27.69341756513292,1.16892647126518,3.0181132038662,0.29810511709931603,1.205167329541005,3.5994070540219303
SRR8281219,0.1481046769351963,22.87253120403571,7.557037517879028,2.0926777526296982,3.523442625433209,7.215610548524342,131.99425693679163,4.40616496791014,6.85495262317265,0.44452864830413397,7.64978845223067,0.4638618389024312,0.12486779593905302,20.22877486754215,2.341103929713391,2.0479078395378707,1.952086790363711,1.783993735695578,4.4272747468127,28.58740400174999,71.52665667838049,0.9632520650079419,46.157858015292604,1.002663664632627,2.218860530512651,0.8907784098113921,4.146111428350991,1.46869391674866
SRR8281220,0.15615664902704002,109.01579720559111,16.10311763227611,0.507683948979423,1.0298669166139391,5.706705078339172,65.35522835824177,0.40224639563543,13.145592048355882,0.582300452628131,15.06994742314439,2.1597438518888437,0.20484428664387397,36.877365431523216,1.020218449112414,0.8711900861280863,3.2378195650889148,0.5739512731945849,3.51387980584352,10.295228748209109,53.2360072338408,0.35999222079435644,51.80946732855405,1.097590026362861,4.077670361263871,0.3719135715731591,1.246014512506811,4.99089053481418
SRR8281221,0.0585303644686856,91.50322623412401,14.263634267013565,0.718541573921078,4.28546622233974,8.81193577679804,79.45248383248631,1.6395465716605229,7.401066221737826,0.9332205130008571,19.102293850309124,3.408468322136577,0.0,36.17960765060051,1.266217055933091,2.062907637174488,2.8296455500860063,1.554671472423566,6.348195745490309,24.46723912613632,58.116507250492866,2.410586686024085,52.55262645313039,0.7472627434302861,1.615985563348272,0.530377649784166,3.0197135465049687,1.1477827093058
SRR8281222,0.0386109663396423,81.19784352241457,22.129741937980977,0.6267428414592472,2.398494424238682,1.237140551064269,49.828845188428986,0.4356197988894875,7.46997810721398,0.306971195978265,15.070934921158479,1.6012943309596221,0.851183372933302,26.237510283115753,0.27420133806854097,1.228578811902363,3.0610634195805924,0.241516408079522,1.63148932494503,9.55820758198571,33.663355118435156,1.0158971449980894,15.517356843860247,1.7497782912068622,2.064471648195016,0.3551958982696529,0.6766845278044267,2.2359944343738802
SRR8281223,0.6473551395489241,16.186900854823648,4.356135004991644,0.4311790200912461,0.929124262760313,3.69225207196216,83.0415190751199,0.468173002224433,8.458603724323995,1.7811393167071858,11.35125755210953,0.4433129825108234,0.0,14.033502618302203,0.6497794224714263,2.996672230248673,5.352185184711635,1.778437002676334,3.6985102528319196,10.930981766808472,35.72938041571778,1.9510465724073613,45.6319823164721,7.504409982977191,2.874096980969059,0.4129267336528287,1.765380173306628,1.35415416138985
SRR8281224,0.12274006189585,56.4971523385725,21.6785730728944,0.4193540175125225,2.9371275927685163,0.8913587973448162,20.346018696736746,0.271359300656255,4.400003654821585,0.14860057491005302,5.806288136222558,1.4039823853110434,0.6208042586634289,9.01827295047404,0.337328612472531,0.5794345660488083,1.097803465925755,0.561016529729814,0.922585975039842,8.094440899440174,13.979432623594683,0.3832045877280717,22.581230108003048,0.472717924131916,2.5162513341602377,0.484328253979761,0.6957554507189813,0.980266991301516
SRR8281225,0.0212499124035018,51.28478497480131,20.942982076779018,0.24780124164349102,1.7607425858192123,1.970419109958796,41.54854676797682,0.9355119162733333,6.987221764376988,0.22748844715122718,10.539988783641407,0.5701353395192109,0.9996843771820769,16.990187260439715,0.335937586187742,1.14812508941096,1.7148341961769888,1.073121488735024,2.0616883930241103,9.058214306557552,27.26832736106401,0.8271344619435701,17.172106077000738,0.7041111691154599,4.473459241365166,0.4365901105666529,0.8199158540302192,1.29679790066688
SRR8281226,0.0,62.450176843694756,6.899070789255997,1.17844999382388,1.251826520399473,3.375547820873912,65.0130755917721,0.4699301513118964,11.511687153555094,0.42619659590762304,29.58994446158101,1.6065077217520738,0.0,53.59106810289848,0.409413790375116,0.5560850634197982,1.04465109174435,0.0927186807707254,5.34039083194378,9.170092519169462,34.648460332017855,0.157697989318347,33.16748310118913,1.6641357846465652,3.5707990090715596,0.326961665636333,2.541237789085274,0.6898927500872759
SRR8281227,0.21660000582093203,107.7982795183913,19.49603167832894,0.5609106397910849,3.8964703860178203,1.573312655461809,39.936169816241474,0.659750847794763,13.837775458001166,0.14168272058659198,22.798455337950138,0.7508534585073608,0.0,33.82526528103522,2.01358704061441,2.559768297335998,1.16740239436334,2.5822055883681063,3.9177143305347903,6.860295453050041,38.54542053948912,1.4028027384237651,60.118463385754644,1.5854645276106227,1.0937753922805769,0.5471189560548351,1.0498965642397562,4.78252549720775
